parametro,Fecha,SE,SE b,NE,NE b,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
NO2  ,1/1/2017,,e,,e,15.1,,,e,,e,,e,9.7,,,e,35.2,,20.1,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 1:00,,e,,e,11.7,,,e,,e,,e,9.1,,,e,32.7,,25.1,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 2:00,,e,,e,8.6,,,e,,e,,e,5.8,,,e,30.2,,22.5,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 3:00,,e,,e,10,,,e,,e,,e,5.2,,,e,27.3,,16.8,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 4:00,,e,,e,8.6,,,e,,e,,e,7.2,,,e,24.3,,6.7,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 5:00,,e,,e,9.4,,,e,,e,,e,9.7,,,e,24.9,,8.6,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 6:00,,e,,e,9.5,,,e,,e,,e,8.8,,,e,19.5,,10.3,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 7:00,,e,,e,7.7,,,e,,e,,e,7.1,,,e,18.5,,9,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 8:00,,e,,e,8,,,e,,e,,e,8.6,,,e,20.2,,8.5,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 9:00,,e,,e,11,,,e,,e,,e,11,,,e,18.9,,8,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 10:00,,e,,e,15.5,,,e,,e,,e,11.4,,,e,12.9,,7.6,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 11:00,,e,,e,17,,,e,,e,,e,10.7,,,e,15.7,,9.6,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 12:00,,e,,e,9.6,,,e,,e,,e,7.6,,,e,12.8,,13.4,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 13:00,,e,,e,5.3,,,e,,e,,e,6.3,,,e,11.2,,13.7,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 14:00,,e,,e,3.9,,,e,,e,,e,5.9,,,e,12.3,,11,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 15:00,,e,,e,1.6,,,e,,e,,e,5.8,,,e,12.2,,9.6,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 16:00,,e,,e,1.1,,,e,,e,,e,6.2,,,e,15,,9.5,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 17:00,,e,,e,2.4,,,e,,e,,e,7.7,,,e,14.8,,8.4,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 18:00,,e,,e,2.8,,,e,,e,,e,8,,,e,22.8,,7.7,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 19:00,,e,,e,2.2,,,e,,e,,e,9.1,,,e,21.5,,9.3,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 20:00,,e,,e,6.7,,,e,,e,,e,8.8,,,e,21.8,,10.9,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 21:00,,e,,e,15.8,,,e,,e,,e,8.7,,,e,21.1,,13.8,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 22:00,,e,,e,17,,,e,,e,,e,8.9,,,e,20.5,,18,,ND,ND,ND,ND,ND,ND
NO2  ,1/1/2017 23:00,,e,,e,15.1,,,e,,e,,e,8.8,,,e,18.2,,10.5,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017,,e,,e,13.9,,,e,,e,,e,8.4,,,e,17.7,,8.9,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017 1:00,,e,,e,13.3,,,e,,e,,e,8,,,e,16.4,,7.8,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017 2:00,,e,,e,10.3,,,e,,e,,e,7.5,,,e,16.6,,10.4,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017 3:00,,e,,e,9.1,,,e,,e,,e,5.9,,,e,17.5,,17.6,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017 4:00,,e,,e,9.7,,,e,,e,,e,6.6,,,e,18.2,,20.7,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017 5:00,,e,,e,9.5,,,e,,e,,e,6.7,,,e,19.2,,19.5,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017 6:00,,e,,e,11.1,,,e,,e,,e,6.8,,,e,21,,21.2,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017 7:00,,e,,e,12.2,,,e,,e,,e,7.3,,,e,21.7,,10.8,,ND,ND,ND,ND,ND,ND
NO2  ,1/2/2017 8:00,,e,,e,13.2,,,e,,e,,e,8.4,,,e,23,,10.2,,ND,ND,ND,ND,ND,ND
