parametro,Fecha,SE,SE b,NE,NE b,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
NOx  ,1/1/2017,,e,,e,31.1,,,e,,e,,e,12.1,,,e,66.4,,37,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 1:00,,e,,e,20.6,,,e,,e,,e,11.6,,,e,69.2,,44.5,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 2:00,,e,,e,10.5,,,e,,e,,e,7.7,,,e,74.4,,39,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 3:00,,e,,e,17.2,,,e,,e,,e,7.3,,,e,66.5,,29.2,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 4:00,,e,,e,10.7,,,e,,e,,e,10.9,,,e,43.2,,13.1,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 5:00,,e,,e,12.6,,,e,,e,,e,19.1,,,e,53.5,,16.1,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 6:00,,e,,e,15.7,,,e,,e,,e,16.1,,,e,35.5,,18.8,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 7:00,,e,,e,11.2,,,e,,e,,e,10.1,,,e,41.2,,16.9,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 8:00,,e,,e,14.6,,,e,,e,,e,17.2,,,e,43.8,,17.4,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 9:00,,e,,e,25.4,,,e,,e,,e,21.1,,,e,40.9,,16.7,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 10:00,,e,,e,27.2,,,e,,e,,e,17.4,,,e,29.1,,15.5,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 11:00,,e,,e,26.3,,,e,,e,,e,15.1,,,e,32.8,,17.9,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 12:00,,e,,e,13.1,,,e,,e,,e,10.1,,,e,30.4,,22.5,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 13:00,,e,,e,7.3,,,e,,e,,e,8.4,,,e,28.2,,21.5,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 14:00,,e,,e,5.8,,,e,,e,,e,7.9,,,e,29.7,,17.4,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 15:00,,e,,e,3,,,e,,e,,e,8,,,e,29.8,,15.5,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 16:00,,e,,e,2.3,,,e,,e,,e,8.4,,,e,33.6,,15.5,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 17:00,,e,,e,3.7,,,e,,e,,e,10,,,e,31.3,,14,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 18:00,,e,,e,4,,,e,,e,,e,10.2,,,e,52.4,,13.3,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 19:00,,e,,e,3.4,,,e,,e,,e,12.2,,,e,43.7,,15.3,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 20:00,,e,,e,8,,,e,,e,,e,12.3,,,e,48.6,,18.2,,ND,ND,ND,ND,ND,ND
NOx  ,1/1/2017 21:00,,e,,e,21,,,e,,e,,e,12.4,,,e,42,,22.6,,ND,ND,ND,ND,ND,ND
