parametro,Fecha,SE,SE b,NE,NE b,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
O3   ,1/1/2017,6,,5,,6,,,e,,e,,e,,e,,e,6,,6,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 1:00,5,,3,,5,,,e,,e,,e,,e,,e,6,,5,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 2:00,4,,3,,6,,,e,,e,,e,,e,,e,6,,5,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 3:00,4,,3,,7,,,e,,e,,e,,e,,e,,s,8,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 4:00,4,,,s,7,,,e,,e,,e,,e,,e,,s,12,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 5:00,3,p,,s,6,,,e,,e,,e,,e,,e,5,,7,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 6:00,3,,,s,5,,,e,,e,,e,,e,,e,6,,3,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 7:00,3,,2,,7,,,e,,e,,e,,e,,e,6,,5,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 8:00,4,,3,,7,,,e,,e,,e,,e,,e,7,,4,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 9:00,7,,5,,8,,,e,,e,,e,,e,,e,12,,5,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 10:00,18,,14,,17,,,e,,e,,e,,e,,e,31,,10,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 11:00,33,,27,,26,,,e,,e,,e,,e,,e,45,,15,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 12:00,43,,38,,50,,,e,,e,,e,,e,,e,53,,20,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 13:00,43,,44,,56,,,e,,e,,e,,e,,e,66,,30,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 14:00,46,,44,,54,,,e,,e,,e,,e,,e,63,,35,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 15:00,47,,44,,51,,,e,,e,,e,,e,,e,58,,33,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 16:00,44,,40,,49,,,e,,e,,e,,e,,e,48,,29,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 17:00,37,,31,,48,,,e,,e,,e,,e,,e,41,,29,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 18:00,18,,18,,48,,,e,,e,,e,,e,,e,19,,25,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 19:00,12,,15,,45,,,e,,e,,e,,e,,e,16,,20,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 20:00,6,,6,,32,,,e,,e,,e,,e,,e,11,,12,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 21:00,4,,3,,9,,,e,,e,,e,,e,,e,9,,10,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 22:00,3,,2,,5,,,e,,e,,e,,e,,e,7,,5,,ND,ND,ND,ND,ND,ND
O3   ,1/1/2017 23:00,3,,2,,6,,,e,,e,,e,,e,,e,6,,10,,ND,ND,ND,ND,ND,ND
O3   ,1/2/2017,3,,3,,5,,,e,,e,,e,,e,,e,5,,9,,ND,ND,ND,ND,ND,ND
O3,1/2/2017 1:00,,s,3,,5,,,e,,e,,e,,e,,e,5,,12,,ND,ND,ND,ND,ND,ND
O3,1/2/2017 2:00,,s,2,,9,,,e,,e,,e,,e,,e,5,,10,,ND,ND,ND,ND,ND,ND
O3,1/2/2017 3:00,,s,2,,12,,,e,,e,,e,,e,,e,,s,10,,ND,ND,ND,ND,ND,ND
O3,1/2/2017 4:00,,s,5,,8,,,e,,e,,e,,e,,e,,s,11,,ND,ND,ND,ND,ND,ND
O3,1/2/2017 5:00,,s,3,,7,,,e,,e,,e,,e,,e,,s,10,,ND,ND,ND,ND,ND,ND
O3,1/2/2017 6:00,,s,2,,5,,,e,,e,,e,,e,,e,,s,7,,ND,ND,ND,ND,ND,ND
