parametro,Fecha,SE,SE b,NE,NE b,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
RH   ,1/1/2017,72,,72,,64,,56,,57,,,s,58,,68,,61,,54,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 1:00,64,,70,,66,,52,,49,,,s,57,,63,,61,,49,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 2:00,51,,69,,56,,48,,47,,,s,47,,57,,65,,51,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 3:00,58,,65,,52,,47,,48,,,s,43,,62,,68,,51,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 4:00,60,,68,,54,,52,,46,,,s,45,,62,,65,,51,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 5:00,66,p,71,,62,,58,,53,,,s,56,,63,,67,,52,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 6:00,69,,72,,65,,62,,59,,,s,58,,68,,75,,57,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 7:00,73,,75,,62,,66,,62,,,s,57,,74,,78,,61,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 8:00,76,,77,,63,,67,,62,,,s,60,,74,,76,,61,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 9:00,71,,75,,62,,63,,58,,,s,60,,71,,71,,58,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 10:00,58,,67,,53,,57,,52,,,s,55,,62,,63,,49,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 11:00,58,,62,,50,,50,,47,,,s,48,,57,,60,,45,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 12:00,54,,57,,50,,48,,47,p,,s,46,,54,,51,,45,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 13:00,47,,55,,48,,47,,51,p,,s,44,,47,,47,,47,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 14:00,45,,51,,43,,46,,48,p,,s,43,,44,,45,,44,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 15:00,43,,49,,38,,44,,44,p,,s,40,,41,,41,,40,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 16:00,44,,50,,38,,44,,44,p,,s,40,,40,,41,,39,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 17:00,47,,55,,45,,48,,46,p,,s,45,,44,,49,,43,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 18:00,53,,60,,48,,53,,48,p,,s,50,,52,,56,,45,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 19:00,60,,63,,50,,55,,50,p,,s,54,,59,,61,,49,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 20:00,61,,68,,53,,57,,54,p,,s,57,,65,,66,,54,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 21:00,66,,73,,61,,62,,,x,,s,62,,70,,71,,56,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 22:00,71,,78,,61,,66,,,x,,s,67,,75,,75,,58,,ND,ND,ND,ND,ND,ND
RH   ,1/1/2017 23:00,77,,82,,65,,70,,,x,,s,71,,78,,79,,58,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017,84,,85,,72,,73,,,x,,s,76,,83,,81,,62,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 1:00,84,,87,,75,,76,,,x,,s,78,,85,,83,,63,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 2:00,80,,88,,69,,80,,,x,,s,78,,88,,84,,62,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 3:00,82,,89,,64,,80,,,x,,s,78,,88,,85,,56,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 4:00,83,,89,,70,,55,,,s,,s,60,,87,,85,,36,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 5:00,82,,88,,66,,31,,,s,,s,44,,85,,85,,32,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 6:00,72,,88,,64,,31,,,s,,s,29,,57,,76,,29,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 7:00,69,,79,,54,,31,,,s,,s,27,,48,,71,,37,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 8:00,60,,60,,46,,31,,,s,,s,31,,46,,61,,38,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 9:00,45,,46,,36,,37,,,s,,s,31,,34,,39,,33,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 10:00,33,,32,,30,,27,,15,p,,s,22,,28,,30,,26,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 11:00,24,,26,,24,,16,,22,,,s,14,,22,,23,,14,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 12:00,21,,24,,16,,12,,11,p,,s,12,,13,,29,,15,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 13:00,20,,18,,13,,8,,10,p,10,p,12,,12,,25,,14,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 14:00,20,,14,,15,,6,,12,b,9,,11,,20,p,20,,15,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 15:00,26,,22,,14,,10,,16,,,x,13,,18,,15,,14,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 16:00,27,,21,,19,,20,,17,p,8,p,21,,18,,28,,17,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 17:00,32,,33,,23,,24,,20,,16,,26,,31,,33,,21,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 18:00,35,,42,,34,,37,,25,p,21,,35,,33,,39,,25,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 19:00,37,,44,,37,,38,,28,p,33,,36,,39,,46,,34,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 20:00,42,,45,,39,,38,,33,,39,,40,,40,,44,,39,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 21:00,49,,45,,43,,39,,36,p,41,,43,,40,,45,,41,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 22:00,59,,49,,45,,45,,42,,44,,40,,41,,51,,46,,ND,ND,ND,ND,ND,ND
RH   ,1/2/2017 23:00,63,,55,,45,,50,,48,,48,,43,,43,,53,,41,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017,67,,53,,43,,53,,50,,51,,46,,50,,58,,42,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 1:00,70,,58,,44,,55,,53,,55,,48,,51,,53,,45,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 2:00,72,,55,,44,,57,,55,,57,p,50,,49,,57,,47,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 3:00,72,,58,,46,,58,,54,,59,,51,,59,,63,,49,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 4:00,70,,64,,46,,58,,54,,62,,55,,65,,66,,48,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 5:00,66,p,67,,47,,58,,53,,62,,57,,67,,67,,50,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 6:00,65,,69,,46,,54,,55,,59,,57,,67,,71,,51,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 7:00,70,,67,,45,,52,,55,,61,,60,,65,,70,,51,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 8:00,65,,61,,44,,50,,49,,53,,53,,57,,63,,47,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 9:00,49,,58,,41,,44,,37,,42,,41,,48,,51,,38,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 10:00,39,,48,,32,,39,,27,,30,,37,,38,,40,,30,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 11:00,36,,42,,34,,37,,26,,27,,33,,35,,36,,25,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 12:00,34,,39,,33,,35,,26,,23,,31,,31,,30,,27,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 13:00,33,,38,,31,,32,,29,,23,,31,,28,,28,,30,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 14:00,33,,36,,31,,32,,31,p,26,,32,,26,,27,,30,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 15:00,34,p,35,p,30,,33,,32,,27,,30,,26,,28,,30,,ND,ND,ND,ND,ND,ND
RH   ,1/3/2017 16:00,35,,35,,32,,33,,35,,30,,30,,28,,30,,31,,ND,ND,ND,ND,ND,ND
