parametro,Fecha,SE,SE b,NE,NE b,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
SO2  ,1/1/2017,11.8,,19.1,,,x,,l,,e,,e,6.3,,13.2,,18,,5,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 1:00,16.7,,26.1,,,x,,l,,e,,e,7.2,,15.6,,19.3,,3.9,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 2:00,16.1,,21.6,,,x,,e,,e,,e,7.6,,11.6,,16.3,,3.5,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 3:00,13.7,,17.2,,,x,,e,,e,,e,6.8,,10.9,,14.3,,3.4,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 4:00,11.9,,16.3,,,x,,l,,e,,e,6.2,,15,,13.8,,3.2,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 5:00,10.8,p,15.6,,,x,,l,,e,,e,5.8,,15.2,,12.5,,3.4,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 6:00,10.2,,14.2,,,x,,e,,e,,e,5.5,,11.3,,10.8,,3.4,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 7:00,9.7,,12.9,,,x,,e,,e,,e,5.4,,10.6,,10.7,,3.2,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 8:00,9.6,,12.8,,,x,,e,,e,,e,5.5,,9.5,,13.2,,3.2,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 9:00,10,,13,,,x,,l,,e,,e,5.7,,13.1,,16.6,,3,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 10:00,10.9,,21.4,,,x,,l,,e,,e,6.8,,27.1,,17.3,,4.5,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 11:00,34.6,,45.8,,,x,,l,,e,,e,9.2,,17.9,,30.6,,6,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 12:00,61,,60.7,,,x,,l,,e,,e,25.4,,15.6,,22.7,,11,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 13:00,19.7,,52.5,,,x,,l,,e,,e,30.8,,39.4,,16.3,,21.9,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 14:00,14.2,,18.9,,,x,,l,,e,,e,22.7,,24.2,,12.6,,16.7,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 15:00,12.7,,14.7,,,x,,l,,e,,e,10.7,,10.3,,10.7,,6.5,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 16:00,11.4,,12.4,,,x,,l,,e,,e,7.8,,8.4,,9.7,,4.3,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 17:00,10.4,,11.1,,,x,,l,,e,,e,6.5,,12.5,,8.9,,3.8,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 18:00,9.7,,10.5,,,x,,l,,e,,e,5.7,,9.4,,8.7,,3.8,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 19:00,9.4,,10.3,,,x,,l,,e,,e,5.3,,8.8,,8.4,,3.6,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 20:00,9.3,,9.9,,,x,,l,,e,,e,5.2,,8.7,,8.4,,3.8,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 21:00,9.4,,9.7,,,x,,l,,e,,e,5.1,,9.6,,8.3,,3.7,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 22:00,9,,9.8,,,x,,e,,e,,e,4.9,,7.8,,8,,3.7,,ND,ND,ND,ND,ND,ND
SO2  ,1/1/2017 23:00,9,,9.6,,,x,,e,,e,,e,5,,7.1,,8.2,,3.4,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017,8.9,,9.3,,,x,,e,,e,,e,4.9,,6.4,,8.2,,3.4,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 1:00,8.8,,9.2,,,x,,e,,e,,e,4.7,,6.4,,8,,3.2,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 2:00,8.8,,8.9,,,x,,l,,e,,e,4.7,,6,,7.9,,3.5,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 3:00,8.9,,8.8,,,x,,l,,e,,e,4.6,,6.1,,7.9,,3.5,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 4:00,8.7,,8.8,,,x,,e,,e,,e,4.5,,6,,8,,3.4,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 5:00,8.5,,,s,,x,,l,,e,,e,4.6,,5.8,,8.2,,3.1,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 6:00,8.7,,9.1,,,x,,l,,e,,e,4.6,,6.9,,8.5,,3.1,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 7:00,8.7,,9.6,,,x,,l,,e,,e,4.7,,7.5,,8.9,,3.8,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 8:00,9,,10,,,x,,l,,e,,e,5,,7.3,,8.9,,5.3,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 9:00,9.3,,10.1,,,x,,l,,e,,e,5.1,,6.2,,,s,4.8,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 10:00,10,,9.4,,,x,,l,,e,,e,4.7,,6,,9,,4.8,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 11:00,11.6,,9.1,,,x,,l,,e,,e,4.4,,5.6,,9.3,,3.9,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 12:00,9.9,,9.9,,,x,,l,,e,,e,4.3,,5.3,,11,,3.8,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 13:00,10,,10.8,,,x,,l,,e,,e,4.3,,5.5,,9.9,,3.3,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 14:00,9.4,,9.6,,,x,,l,,e,,e,4.4,,6.7,p,10.4,,3.2,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 15:00,9,,9.5,,,x,,l,,e,,e,4.5,,6.6,,9.8,,3.2,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 16:00,8.8,,9.6,,,x,,l,,e,,e,5,,7.4,,13.9,,3.7,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 17:00,9.7,,12,,,x,,l,,e,,e,5.1,,8.1,,9.2,,3.6,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 18:00,10.5,,10.6,,,x,,l,,e,,e,5.9,,8,,9,,3.4,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 19:00,9.8,,9.8,,,x,,l,,e,,e,5.4,,10.1,,8.5,,4.1,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 20:00,9.5,,9.5,,,x,,l,,e,,e,5.2,,7.9,,8.4,,4.3,,ND,ND,ND,ND,ND,ND
SO2  ,1/2/2017 21:00,9.1,,9.9,,,x,,l,,e,,e,5,,7,,8.5,,4.9,,ND,ND,ND,ND,ND,ND
