parametro,Fecha,SE,SE b,NE,NE b,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
SR   ,1/1/2017,0.007,,0,l,0.004,,0,l,0.001,,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 1:00,0.007,,0,l,0.004,,0,l,0.001,,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 2:00,0.007,,0,l,0.004,,0,l,0.001,,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 3:00,0.007,,0,l,0.004,,0,l,0.001,,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 4:00,0.007,,0,l,0.004,,0,l,0.001,,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 5:00,0.007,p,0,l,0.003,,0,l,0.001,,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 6:00,0.007,,0,l,0.003,,0,l,0.001,,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 7:00,0.01,,0.002,l,0.009,,0,l,0.011,,,x,0.005,,0.004,,0.005,,0.004,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 8:00,0.052,,0.053,,0.066,,0,l,0.066,,,x,0.058,,0.062,,0.045,,0.06,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 9:00,0.121,,0.128,,0.151,,0.07,,0.169,,,x,0.139,,0.137,,0.126,,0.149,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 10:00,0.264,,0.298,,0.349,,0.226,,0.282,,,x,0.303,,0.317,,0.23,,0.338,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 11:00,0.333,,0.421,,0.476,,0.354,,0.494,,,x,0.391,,0.419,,0.287,,0.466,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 12:00,0.444,,0.564,,0.625,,0.155,,0.553,p,,x,0.542,,0.568,,0.403,,0.545,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 13:00,0.418,,0.529,,0.601,,0.442,,0.538,p,,x,0.551,,0.501,,0.322,,0.522,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 14:00,0.393,,0.502,,0.589,,0.448,,0.47,p,,x,0.475,,0.505,,0.328,,0.519,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 15:00,0.308,,0.383,,0.327,,0.341,,0.354,p,,x,0.377,,0.388,,0.263,,0.391,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 16:00,0.174,,0.115,,0.048,,0.162,,0.146,p,,x,0.199,,0.222,,0.147,,0.192,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 17:00,0.029,,0.022,,0.037,,0,l,0.027,p,,x,0.029,,0.029,,0.017,,0.034,,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 18:00,0.008,,0,l,0.005,,0,l,0.001,p,,x,0.001,,0.002,,0.001,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 19:00,0.007,,0,l,0.004,,0,l,0.001,p,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 20:00,0.007,,0,l,0.004,,0,l,0.001,p,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 21:00,0.007,,0,l,0.005,,0,l,,x,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 22:00,0.007,,0,l,0.005,,0,l,,x,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
SR   ,1/1/2017 23:00,0.007,,0,l,0.005,,0,l,,x,,x,0,,0.001,,0,,0,l,ND,ND,ND,ND,ND,ND
