parametro,Fecha,CE,CE b
WDR  ,1/1/2017,300,
WDR  ,1/1/2017 1:00,226,
WDR  ,1/1/2017 2:00,246,
WDR  ,1/1/2017 3:00,152,
WDR  ,1/1/2017 4:00,232,
WDR  ,1/1/2017 5:00,272,
WDR  ,1/1/2017 6:00,270,
WDR  ,1/1/2017 7:00,237,
WDR  ,1/1/2017 8:00,277,
WDR  ,1/1/2017 9:00,338,
WDR  ,1/1/2017 10:00,38,
WDR  ,1/1/2017 11:00,33,
WDR  ,1/1/2017 12:00,86,
WDR  ,1/1/2017 13:00,61,
WDR  ,1/1/2017 14:00,50,
WDR  ,1/1/2017 15:00,100,
WDR  ,1/1/2017 16:00,148,
WDR  ,1/1/2017 17:00,141,
WDR  ,1/1/2017 18:00,125,
WDR  ,1/1/2017 19:00,154,
WDR  ,1/1/2017 20:00,125,
WDR  ,1/1/2017 21:00,283,
WDR  ,1/1/2017 22:00,229,
WDR  ,1/1/2017 23:00,293,
WDR  ,1/2/2017,270,
WDR  ,1/2/2017 1:00,268,
WDR  ,1/2/2017 2:00,259,
WDR  ,1/2/2017 3:00,193,
WDR  ,1/2/2017 4:00,195,
WDR  ,1/2/2017 5:00,201,
WDR  ,1/2/2017 6:00,157,
WDR  ,1/2/2017 7:00,215,
WDR  ,1/2/2017 8:00,245,
WDR  ,1/2/2017 9:00,176,
WDR  ,1/2/2017 10:00,163,
WDR  ,1/2/2017 11:00,131,
WDR  ,1/2/2017 12:00,109,
WDR  ,1/2/2017 13:00,42,
WDR  ,1/2/2017 14:00,126,
WDR  ,1/2/2017 15:00,119,
WDR  ,1/2/2017 16:00,132,
WDR  ,1/2/2017 17:00,145,
WDR  ,1/2/2017 18:00,154,
WDR  ,1/2/2017 19:00,137,
WDR  ,1/2/2017 20:00,95,
WDR  ,1/2/2017 21:00,255,
WDR  ,1/2/2017 22:00,223,
WDR  ,1/2/2017 23:00,256,
WDR  ,1/3/2017,251,
WDR  ,1/3/2017 1:00,232,
WDR  ,1/3/2017 2:00,318,
WDR  ,1/3/2017 3:00,247,
WDR  ,1/3/2017 4:00,244,
WDR  ,1/3/2017 5:00,236,
WDR  ,1/3/2017 6:00,230,
WDR  ,1/3/2017 7:00,266,
WDR  ,1/3/2017 8:00,339,
WDR  ,1/3/2017 9:00,273,
WDR  ,1/3/2017 10:00,248,
WDR  ,1/3/2017 11:00,353,
WDR  ,1/3/2017 12:00,32,
WDR  ,1/3/2017 13:00,49,
WDR  ,1/3/2017 14:00,97,
WDR  ,1/3/2017 15:00,78,
WDR  ,1/3/2017 16:00,68,
WDR  ,1/3/2017 17:00,85,
WDR  ,1/3/2017 18:00,94,
WDR  ,1/3/2017 19:00,123,
WDR  ,1/3/2017 20:00,152,
WDR  ,1/3/2017 21:00,307,
WDR  ,1/3/2017 22:00,213,
WDR  ,1/3/2017 23:00,312,
WDR  ,1/4/2017,45,
WDR  ,1/4/2017 1:00,222,
WDR  ,1/4/2017 2:00,250,
WDR  ,1/4/2017 3:00,242,
WDR  ,1/4/2017 4:00,245,
WDR  ,1/4/2017 5:00,235,
WDR  ,1/4/2017 6:00,270,
WDR  ,1/4/2017 7:00,253,
WDR  ,1/4/2017 8:00,215,
WDR  ,1/4/2017 9:00,1,
WDR  ,1/4/2017 10:00,21,
WDR  ,1/4/2017 11:00,72,
WDR  ,1/4/2017 12:00,62,
WDR  ,1/4/2017 13:00,87,
WDR  ,1/4/2017 14:00,67,
WDR  ,1/4/2017 15:00,79,
WDR  ,1/4/2017 16:00,62,
WDR  ,1/4/2017 17:00,57,
WDR  ,1/4/2017 18:00,55,
WDR  ,1/4/2017 19:00,50,
WDR  ,1/4/2017 20:00,81,
WDR  ,1/4/2017 21:00,65,
WDR  ,1/4/2017 22:00,65,
WDR  ,1/4/2017 23:00,59,
WDR  ,1/5/2017,53,
WDR  ,1/5/2017 1:00,172,
WDR  ,1/5/2017 2:00,30,
WDR  ,1/5/2017 3:00,243,
WDR  ,1/5/2017 4:00,264,
WDR  ,1/5/2017 5:00,284,
WDR  ,1/5/2017 6:00,240,
WDR  ,1/5/2017 7:00,273,
WDR  ,1/5/2017 8:00,276,
WDR  ,1/5/2017 9:00,355,
WDR  ,1/5/2017 10:00,28,
WDR  ,1/5/2017 11:00,16,
WDR  ,1/5/2017 12:00,61,
WDR  ,1/5/2017 13:00,90,
WDR  ,1/5/2017 14:00,82,
WDR  ,1/5/2017 15:00,85,
WDR  ,1/5/2017 16:00,89,
WDR  ,1/5/2017 17:00,74,
WDR  ,1/5/2017 18:00,73,p
WDR  ,1/5/2017 19:00,26,
WDR  ,1/5/2017 20:00,343,
WDR  ,1/5/2017 21:00,284,
WDR  ,1/5/2017 22:00,310,
WDR  ,1/5/2017 23:00,276,
WDR  ,1/6/2017,254,
WDR  ,1/6/2017 1:00,88,
WDR  ,1/6/2017 2:00,106,
WDR  ,1/6/2017 3:00,244,
WDR  ,1/6/2017 4:00,66,
WDR  ,1/6/2017 5:00,116,
WDR  ,1/6/2017 6:00,65,
WDR  ,1/6/2017 7:00,97,
WDR  ,1/6/2017 8:00,98,
WDR  ,1/6/2017 9:00,104,p
WDR  ,1/6/2017 10:00,65,
WDR  ,1/6/2017 11:00,79,
WDR  ,1/6/2017 12:00,58,
WDR  ,1/6/2017 13:00,62,
WDR  ,1/6/2017 14:00,49,
WDR  ,1/6/2017 15:00,71,
WDR  ,1/6/2017 16:00,44,
WDR  ,1/6/2017 17:00,64,
WDR  ,1/6/2017 18:00,62,
WDR  ,1/6/2017 19:00,62,
WDR  ,1/6/2017 20:00,51,
WDR  ,1/6/2017 21:00,81,
WDR  ,1/6/2017 22:00,116,
WDR  ,1/6/2017 23:00,136,
WDR  ,1/7/2017,158,
WDR  ,1/7/2017 1:00,61,
WDR  ,1/7/2017 2:00,64,
WDR  ,1/7/2017 3:00,65,
WDR  ,1/7/2017 4:00,72,
WDR  ,1/7/2017 5:00,63,
WDR  ,1/7/2017 6:00,40,
WDR  ,1/7/2017 7:00,61,
WDR  ,1/7/2017 8:00,71,
WDR  ,1/7/2017 9:00,89,
WDR  ,1/7/2017 10:00,92,
WDR  ,1/7/2017 11:00,89,
WDR  ,1/7/2017 12:00,46,
WDR  ,1/7/2017 13:00,107,
WDR  ,1/7/2017 14:00,94,
WDR  ,1/7/2017 15:00,80,
WDR  ,1/7/2017 16:00,79,
WDR  ,1/7/2017 17:00,92,
WDR  ,1/7/2017 18:00,87,
WDR  ,1/7/2017 19:00,116,
WDR  ,1/7/2017 20:00,123,
WDR  ,1/7/2017 21:00,123,
WDR  ,1/7/2017 22:00,103,
WDR  ,1/7/2017 23:00,110,
WDR  ,1/8/2017,114,
WDR  ,1/8/2017 1:00,123,
WDR  ,1/8/2017 2:00,108,
WDR  ,1/8/2017 3:00,88,
WDR  ,1/8/2017 4:00,96,
WDR  ,1/8/2017 5:00,242,
WDR  ,1/8/2017 6:00,184,
WDR  ,1/8/2017 7:00,221,
WDR  ,1/8/2017 8:00,126,
WDR  ,1/8/2017 9:00,6,
WDR  ,1/8/2017 10:00,13,
WDR  ,1/8/2017 11:00,42,
WDR  ,1/8/2017 12:00,82,
WDR  ,1/8/2017 13:00,81,
WDR  ,1/8/2017 14:00,80,
WDR  ,1/8/2017 15:00,72,
WDR  ,1/8/2017 16:00,77,
WDR  ,1/8/2017 17:00,83,
WDR  ,1/8/2017 18:00,70,
WDR  ,1/8/2017 19:00,60,
WDR  ,1/8/2017 20:00,154,
WDR  ,1/8/2017 21:00,231,
WDR  ,1/8/2017 22:00,203,
WDR  ,1/8/2017 23:00,239,
WDR  ,1/9/2017,261,
WDR  ,1/9/2017 1:00,248,
WDR  ,1/9/2017 2:00,253,
WDR  ,1/9/2017 3:00,235,
WDR  ,1/9/2017 4:00,304,
WDR  ,1/9/2017 5:00,254,
WDR  ,1/9/2017 6:00,347,
WDR  ,1/9/2017 7:00,329,
WDR  ,1/9/2017 8:00,257,
WDR  ,1/9/2017 9:00,54,
