parametro,Fecha,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
WSR  ,1/1/2017,3,,7,,6.7,,,l,3.7,,4.2,,5.1,,4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 1:00,2,,9,,11.1,,,l,4.8,,8.6,,3,,5.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 2:00,2.6,,3.9,,7.1,,,l,5.8,,8.8,,1.4,,4.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 3:00,5.4,,4.6,,9.8,,,l,6.8,,8.7,,2.1,,3.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 4:00,3.6,,2.6,,13.6,,,l,6.6,,7.7,,4.6,,2,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 5:00,2.5,,1.9,,4.9,,,l,3.9,,5.5,,5.1,,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 6:00,2.4,,,l,4.3,,,l,3.7,,4.4,,4.4,,1,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 7:00,4.1,,,l,3.6,,,l,3.2,,4.6,,4.5,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 8:00,2.8,,1.7,,3.9,,,l,3.7,,3.9,,2.9,,0.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 9:00,1,,,l,4,,,l,4.6,,5,,2.8,,0.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 10:00,1.7,,1.9,,6.5,,,l,4.1,,7.1,,6.2,,0.7,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 11:00,3.2,,0.7,,5.9,,,l,4.8,,6.8,,6.6,,3.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 12:00,5,,9.4,,7.4,p,,l,8.8,,9.8,,8.4,,5.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 13:00,6.7,,9.2,,9.3,p,,l,9.4,,11.6,,11.8,,6.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 14:00,7.3,,10.2,,9.1,p,,l,8.9,,13.4,,10.3,,6.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 15:00,7.1,,9.4,,12.2,p,,l,8.6,,12.4,,9.8,,5.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 16:00,7.2,,11.6,,9.3,p,,l,10.3,,14.1,,10.6,,5.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 17:00,7.5,,11.5,,6.9,p,,l,8.3,,11.3,,8.8,,4.1,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 18:00,7.7,,8.3,,4,p,,l,4.4,,9.7,,6.2,,3.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 19:00,8.7,,3.5,,2.8,p,,l,2.7,,6.4,,5,,1.8,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 20:00,4.1,,,l,3.3,p,,l,2.3,,7.3,,4.5,,0.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 21:00,2.2,,1.6,,,l,,l,4,,5.8,,3.6,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 22:00,3,,0.2,,,l,,l,2.6,,3,,2.1,,2.3,,ND,ND,ND,ND,ND,ND
WSR  ,1/1/2017 23:00,1.7,,,l,,l,,l,3.1,,3.6,,1.5,,1.6,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017,2.6,,,l,,l,,l,3.6,,2.3,,2,,1.2,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 1:00,2.5,,,l,,l,,l,3.8,,5,,2.1,,1.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 2:00,2.9,,,l,,l,,l,3.8,,5.8,,3.2,,1.9,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 3:00,3.6,,0.3,,,l,,l,3.3,,5.5,,1.4,,3.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 4:00,2.6,,2.6,,,l,,l,4.6,,4.2,,1.4,,4.5,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 5:00,3.1,,4.9,,,l,,l,7.1,,5.1,,1.5,,4.4,,ND,ND,ND,ND,ND,ND
WSR  ,1/2/2017 6:00,3.7,,3.3,,,l,,l,5,,6.7,,2.2,,5.2,,ND,ND,ND,ND,ND,ND
