Fecha,CO,NO,NO2,NOx,O3,PM25,PM10,PRS,RAINF,RH,SO2,SR,TOUT,WD,WS
1/1/2017,2.47,16.0,15.1,31.1,6.0,,143.0,709.2,0.0,64.0,,0.004,19.46,300.0,3.0
1/1/2017 1:00,2.18,8.9,11.7,20.6,5.0,,183.0,708.9,0.0,66.0,,0.004,18.92,226.0,2.0
1/1/2017 2:00,1.77,2.0,8.6,10.5,6.0,,142.0,708.5,0.0,56.0,,0.004,20.42,246.0,2.6
1/1/2017 3:00,1.93,7.2,10.0,17.2,7.0,,101.0,708.2,0.0,52.0,,0.004,21.21,152.0,5.4
1/1/2017 4:00,1.7,2.1,8.6,10.7,7.0,,85.0,707.9,0.0,54.0,,0.004,20.47,232.0,3.6
1/1/2017 5:00,1.77,3.3,9.4,12.6,6.0,,52.0,708.3,0.0,62.0,,0.003,18.96,272.0,2.5
1/1/2017 6:00,1.99,6.3,9.5,15.7,5.0,,55.0,708.8,0.0,65.0,,0.003,18.15,270.0,2.4
1/1/2017 7:00,1.61,3.5,7.7,11.2,7.0,,48.0,709.2,0.0,62.0,,0.009000000000000001,18.81,237.0,4.1
1/1/2017 8:00,1.67,6.6,8.0,14.6,7.0,,31.0,709.7,0.0,63.0,,0.066,18.68,277.0,2.8
1/1/2017 9:00,1.93,14.3,11.0,25.4,8.0,,35.0,710.3,0.0,62.0,,0.151,19.42,338.0,1.0
1/1/2017 10:00,2.08,11.7,15.5,27.2,17.0,,46.0,710.4,0.0,53.0,,0.349,21.9,38.0,1.7
1/1/2017 11:00,1.94,9.2,17.0,26.3,26.0,,76.0,710.2,0.0,50.0,,0.47600000000000003,23.11,33.0,3.2
1/1/2017 12:00,1.72,3.5,9.6,13.1,50.0,,95.0,709.5,0.0,50.0,,0.625,23.97,86.0,5.0
1/1/2017 13:00,1.59,1.9,5.3,7.3,56.0,,77.0,708.4,0.0,48.0,,0.601,24.86,61.0,6.7
1/1/2017 14:00,1.55,1.8,3.9,5.8,54.0,,61.0,707.6,0.0,43.0,,0.589,26.12,50.0,7.3
1/1/2017 15:00,1.45,1.3,1.6,3.0,51.0,,38.0,707.2,0.0,38.0,,0.327,27.03,100.0,7.1
1/1/2017 16:00,1.43,1.2,1.1,2.3,49.0,,28.0,707.0,0.0,38.0,,0.048,26.92,148.0,7.2
1/1/2017 17:00,1.48,1.1,2.4,3.7,48.0,,22.0,707.0,0.0,45.0,,0.037000000000000005,24.88,141.0,7.5
1/1/2017 18:00,1.49,1.1,2.8,4.0,48.0,,32.0,707.1,0.0,48.0,,0.005,23.86,125.0,7.7
1/1/2017 19:00,1.46,1.0,2.2,3.4,45.0,,32.0,707.1,0.0,50.0,,0.004,23.57,154.0,8.7
1/1/2017 20:00,1.56,1.2,6.7,8.0,32.0,,28.0,707.2,0.0,53.0,,0.004,22.73,125.0,4.1
1/1/2017 21:00,1.96,5.3,15.8,21.0,9.0,,30.0,707.3,0.0,61.0,,0.005,21.08,283.0,2.2
1/1/2017 22:00,2.03,7.7,17.0,24.7,5.0,,48.0,707.4,0.0,61.0,,0.005,20.23,229.0,3.0
1/1/2017 23:00,1.89,4.3,15.1,19.4,6.0,,54.0,707.4,0.0,65.0,,0.005,19.29,293.0,1.7
1/2/2017,1.96,9.7,13.9,23.5,5.0,,54.0,707.6,0.0,72.0,,0.005,18.11,270.0,2.6
1/2/2017 1:00,2.01,11.3,13.3,24.6,5.0,,62.0,707.7,0.0,75.0,,0.006,17.39,268.0,2.5
1/2/2017 2:00,1.65,1.8,10.3,12.1,9.0,,59.0,707.7,0.0,69.0,,0.005,17.39,259.0,2.9
1/2/2017 3:00,1.56,1.2,9.1,10.3,12.0,,66.0,707.6,0.0,64.0,,0.005,17.41,193.0,3.6
